"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
601;"Banská Bystrica";6;"Banskobystrickı";-411442.08;-1226214.8
602;"Banská Štiavnica";6;"Banskobystrickı";-439311.36;-1263049.67
603;"Brezno";6;"Banskobystrickı";-373889.86;-1222930.97
604;"Detva";6;"Banskobystrickı";-396238.7;-1250413.94
605;"Krupina";6;"Banskobystrickı";-430685.93;-1277232.09
606;"Luèenec";6;"Banskobystrickı";-383388.37;-1278314.16
607;"Poltár";6;"Banskobystrickı";-374916.48;-1258476.53
608;"Revúca";6;"Banskobystrickı";-342966.0;-1246746.83
609;"Rimavská Sobota";6;"Banskobystrickı";-350976.68;-1270791.07
610;"Ve¾kı Krtíš";6;"Banskobystrickı";-410480.52;-1289285.79
611;"Zvolen";6;"Banskobystrickı";-422166.65;-1251959.92
612;"arnovica";6;"Banskobystrickı";-456685.28;-1254483.87
613;"iar nad Hronom";6;"Banskobystrickı";-440331.83;-1239349.74
701;"Bardejov";7;"Prešovskı";-259598.8;-1176729.08
702;"Humenné";7;"Prešovskı";-210542.72;-1210000.28
703;"Kemarok";7;"Prešovskı";-320884.33;-1182267.99
704;"Levoèa";7;"Prešovskı";-302814.32;-1201651.65
705;"Medzilaborce";7;"Prešovskı";-211524.3;-1185108.78
706;"Poprad";7;"Prešovskı";-339836.1;-1194546.42
707;"Prešov";7;"Prešovskı";-264666.46;-1209568.73
708;"Sabinov";7;"Prešovskı";-281869.31;-1191640.54
709;"Snina";7;"Prešovskı";-185729.08;-1208972.96
710;"Stará ¼ubovòa";7;"Prešovskı";-300839.57;-1173572.08
711;"Stropkov";7;"Prešovskı";-227807.01;-1186609.81
712;"Svidník";7;"Prešovskı";-237998.55;-1177067.43
713;"Vranov nad Top¾ou";7;"Prešovskı";-234688.45;-1216701.85
801;"Gelnica";8;"Košickı";-295763.46;-1230119.41
802;"Košice I";8;"Košickı";-266041.33;-1235317.9
803;"Košice II";8;"Košickı";-267852.99;-1247428.56
804;"Košice III";8;"Košickı";-259704.82;-1237469.82
805;"Košice IV";8;"Košickı";-261005.58;-1244173.3
806;"Košice - okolie";8;"Košickı";-285963.28;-1246876.64
807;"Michalovce";8;"Košickı";-212150.39;-1246182.41
808;"Roòava";8;"Košickı";-321832.1;-1241533.2
809;"Sobrance";8;"Košickı";-191890.07;-1238403.66
810;"Spišská Nová Ves";8;"Košickı";-297872.45;-1217532.95
811;"Trebišov";8;"Košickı";-233166.09;-1255923.21
101;"Bratislava I";1;"Bratislavskı";-574271.93;-1279996.9
102;"Bratislava II";1;"Bratislavskı";-567594.34;-1283245.51
103;"Bratislava III";1;"Bratislavskı";-570909.67;-1274707.17
104;"Bratislava IV";1;"Bratislavskı";-579199.66;-1273344.67
105;"Bratislava V";1;"Bratislavskı";-572833.66;-1289357.16
106;"Malacky";1;"Bratislavskı";-572067.05;-1249184.03
107;"Pezinok";1;"Bratislavskı";-557108.14;-1261523.0
108;"Senec";1;"Bratislavskı";-555401.64;-1277632.94
201;"Dunajská Streda";2;"Trnavskı";-540227.53;-1303277.88
202;"Galanta";2;"Trnavskı";-531404.21;-1281722.92
203;"Hlohovec";2;"Trnavskı";-518499.0;-1254344.53
204;"Piešany";2;"Trnavskı";-522225.76;-1236814.6
205;"Senica";2;"Trnavskı";-559343.84;-1226289.06
206;"Skalica";2;"Trnavskı";-560635.76;-1211924.73
207;"Trnava";2;"Trnavskı";-538413.92;-1252108.5
301;"Bánovce nad Bebravou";3;"Trenèiansky";-485620.54;-1225253.56
302;"Ilava";3;"Trenèiansky";-480866.01;-1194410.63
303;"Myjava";3;"Trenèiansky";-534094.17;-1218019.89
304;"Nové Mesto nad Váhom";3;"Trenèiansky";-514554.57;-1218089.42
305;"Partizánske";3;"Trenèiansky";-476825.93;-1239456.32
306;"Povaská Bystrica";3;"Trenèiansky";-465913.97;-1179963.04
307;"Prievidza";3;"Trenèiansky";-459050.16;-1221019.04
308;"Púchov";3;"Trenèiansky";-478258.45;-1178480.8
309;"Trenèín";3;"Trenèiansky";-496682.0;-1205363.52
401;"Komárno";4;"Nitriansky";-502235.57;-1321557.62
402;"Levice";4;"Nitriansky";-457807.4;-1290404.42
403;"Nitra";4;"Nitriansky";-497980.2;-1270124.67
404;"Nové Zámky";4;"Nitriansky";-495476.23;-1296145.7
405;"Ša¾a";4;"Nitriansky";-514543.13;-1288816.97
406;"Topo¾èany";4;"Nitriansky";-497280.85;-1242511.49
407;"Zlaté Moravce";4;"Nitriansky";-475756.37;-1260764.09
501;"Bytèa";5;"ilinskı";-458652.47;-1167130.01
502;"Èadca";5;"ilinskı";-442232.48;-1148175.76
503;"Dolnı Kubín";5;"ilinskı";-402944.72;-1174113.97
504;"Kysucké Nové Mesto";5;"ilinskı";-437961.14;-1162586.63
505;"Liptovskı Mikuláš";5;"ilinskı";-374225.21;-1195972.53
506;"Martin";5;"ilinskı";-429855.07;-1194443.38
507;"Námestovo";5;"ilinskı";-396028.21;-1152030.16
508;"Ruomberok";5;"ilinskı";-407093.62;-1196959.86
509;"Turèianske Teplice";5;"ilinskı";-437826.43;-1214053.39
510;"Tvrdošín";5;"ilinskı";-376928.21;-1166242.42
511;"ilina";5;"ilinskı";-441297.59;-1177916.07
